,sym_1,sym_2,p_value,t_value,c_value,hedge_ratio,zero_crossings
167,API3USDT,FLMUSDT,0.0,-6.86,-3.37,18.07,60
425,ENJUSDT,ADAUSDT,0.02,-3.61,-3.37,0.94,56
849,YGGUSDT,ADAUSDT,0.03,-3.59,-3.37,0.67,52
475,LITUSDT,WAVESUSDT,0.0,-4.47,-3.37,0.31,48
28,1000XECUSDT,JSTUSDT,0.04,-3.41,-3.37,1.39,46
31,1INCHUSDT,DGBUSDT,0.01,-3.83,-3.37,75.47,46
769,XRPUSDT,CTCUSDT,0.0,-13.84,-3.37,1.01,46
422,DOGEUSDT,ADAUSDT,0.01,-4.1,-3.37,0.26,46
461,KDAUSDT,ADAUSDT,0.0,-4.29,-3.37,2.69,44
549,SANDUSDT,ADAUSDT,0.01,-3.85,-3.37,1.76,44
133,ALICEUSDT,NEOUSDT,0.0,-5.44,-3.37,0.18,44
714,XNOUSDT,AAVEUSDT,0.0,-4.2,-3.37,0.01,44
691,WAVESUSDT,CTCUSDT,0.0,-6.02,-3.37,6.13,43
632,TOMOUSDT,MINAUSDT,0.01,-4.04,-3.37,0.54,43
225,ASTRUSDT,KDAUSDT,0.0,-5.17,-3.37,0.04,43
147,ALPHAUSDT,OGNUSDT,0.0,-4.26,-3.37,0.85,42
150,ALPHAUSDT,TLMUSDT,0.0,-4.86,-3.37,5.73,41
446,ICPUSDT,ADAUSDT,0.01,-3.92,-3.37,11.7,41
139,ALPHAUSDT,DUSKUSDT,0.0,-5.02,-3.37,0.98,41
484,ONTUSDT,MTLUSDT,0.0,-4.59,-3.37,0.25,41
636,TRBUSDT,ADAUSDT,0.01,-4.07,-3.37,34.77,41
268,BAKEUSDT,ADAUSDT,0.01,-3.97,-3.37,0.54,41
179,API3USDT,XLMUSDT,0.0,-5.07,-3.37,15.93,40
703,XEMUSDT,ICXUSDT,0.0,-4.63,-3.37,0.21,40
708,XEMUSDT,ZILUSDT,0.01,-4.07,-3.37,1.49,40
161,API3USDT,COMPUSDT,0.0,-4.44,-3.37,0.04,40
197,ASTRUSDT,BTCUSDT,0.0,-4.36,-3.37,0.0,40
4,1000BTTUSDT,ADAUSDT,0.03,-3.59,-3.37,0.0,40
649,TRXUSDT,JSTUSDT,0.03,-3.59,-3.37,2.42,40
590,TOMOUSDT,AKROUSDT,0.02,-3.63,-3.37,109.91,39
132,ALICEUSDT,MINAUSDT,0.01,-3.94,-3.37,2.15,39
866,ZILUSDT,ICXUSDT,0.0,-4.29,-3.37,0.14,39
26,1000XECUSDT,CEEKUSDT,0.04,-3.41,-3.37,0.29,39
169,API3USDT,KSMUSDT,0.02,-3.63,-3.37,0.06,39
130,ALICEUSDT,IOTAUSDT,0.0,-4.47,-3.37,5.45,39
37,AAVEUSDT,BLZUSDT,0.0,-4.31,-3.37,1006.38,37
193,ASTRUSDT,BNBUSDT,0.0,-5.55,-3.37,0.0,37
604,TOMOUSDT,CTCUSDT,0.03,-3.55,-3.37,0.8,37
516,RNDRUSDT,ADAUSDT,0.03,-3.58,-3.37,1.45,37
129,ALICEUSDT,HOTUSDT,0.0,-4.85,-3.37,765.49,37
485,ONTUSDT,QTUMUSDT,0.0,-4.16,-3.37,0.08,37
527,RUNEUSDT,DENTUSDT,0.0,-5.16,-3.37,1746.6,37
6,1000BTTUSDT,DOTUSDT,0.01,-3.79,-3.37,0.0,37
565,SLPUSDT,ANKRUSDT,0.01,-3.86,-3.37,0.12,37
472,LITUSDT,IOTXUSDT,0.01,-4.05,-3.37,28.92,36
790,XRPUSDT,FILUSDT,0.0,-13.7,-3.37,0.09,36
166,API3USDT,EOSUSDT,0.01,-4.07,-3.37,1.58,36
208,ASTRUSDT,EGLDUSDT,0.0,-4.24,-3.37,0.0,36
805,XRPUSDT,HOTUSDT,0.0,-13.88,-3.37,243.12,36
777,XRPUSDT,DGBUSDT,0.0,-14.03,-3.37,54.8,36
44,AAVEUSDT,DGBUSDT,0.01,-3.8,-3.37,8489.16,36
420,CVXUSDT,ADAUSDT,0.02,-3.77,-3.37,11.99,36
693,WAVESUSDT,DGBUSDT,0.03,-3.53,-3.37,332.99,36
785,XRPUSDT,ENSUSDT,0.0,-14.05,-3.37,0.03,35
136,ALPHAUSDT,AVAXUSDT,0.03,-3.55,-3.37,0.01,35
497,RENUSDT,1000BTTUSDT,0.0,-4.73,-3.37,115.93,35
591,TOMOUSDT,API3USDT,0.05,-3.37,-3.37,0.21,35
215,ASTRUSDT,GLMRUSDT,0.0,-4.28,-3.37,0.1,35
42,AAVEUSDT,CTCUSDT,0.0,-4.27,-3.37,156.35,35
488,QTUMUSDT,AKROUSDT,0.02,-3.6,-3.37,757.06,35
470,LINAUSDT,ADAUSDT,0.0,-4.67,-3.37,0.02,35
613,TOMOUSDT,FLMUSDT,0.02,-3.71,-3.37,3.78,35
611,TOMOUSDT,FILUSDT,0.01,-3.9,-3.37,0.07,35
607,TOMOUSDT,DENTUSDT,0.0,-4.6,-3.37,438.94,35
378,CELUSDT,1INCHUSDT,0.0,-4.48,-3.37,0.95,35
526,RUNEUSDT,CTCUSDT,0.01,-3.93,-3.37,3.17,35
776,XRPUSDT,DENTUSDT,0.0,-13.94,-3.37,556.26,34
793,XRPUSDT,FLOWUSDT,0.0,-13.86,-3.37,0.31,34
520,RUNEUSDT,ARPAUSDT,0.01,-3.82,-3.37,44.62,34
112,AKROUSDT,UNFIUSDT,0.01,-4.02,-3.37,0.0,34
185,ASTRUSDT,AUDIOUSDT,0.0,-4.21,-3.37,0.25,34
412,COTIUSDT,ASTRUSDT,0.02,-3.68,-3.37,1.99,34
726,XRPUSDT,AKROUSDT,0.0,-13.75,-3.37,139.26,34
643,TRXUSDT,CEEKUSDT,0.02,-3.76,-3.37,0.51,34
817,XRPUSDT,KDAUSDT,0.0,-13.68,-3.37,0.42,34
164,API3USDT,DUSKUSDT,0.04,-3.42,-3.37,15.94,34
283,BAKEUSDT,BLZUSDT,0.0,-5.91,-3.37,3.08,34
247,ASTRUSDT,SLPUSDT,0.01,-3.85,-3.37,14.46,34
39,AAVEUSDT,CHRUSDT,0.02,-3.73,-3.37,526.37,34
49,AAVEUSDT,FLMUSDT,0.0,-4.75,-3.37,741.18,34
137,ALPHAUSDT,CTCUSDT,0.01,-3.88,-3.37,0.23,33
495,QTUMUSDT,MTLUSDT,0.0,-4.43,-3.37,3.01,33
251,ASTRUSDT,SUNUSDT,0.03,-3.53,-3.37,7.21,33
821,XRPUSDT,LDOUSDT,0.0,-14.05,-3.37,0.32,33
105,AKROUSDT,CEEKUSDT,0.0,-5.12,-3.37,0.03,33
182,ASTRUSDT,1000BTTUSDT,0.0,-4.77,-3.37,54.2,33
263,BAKEUSDT,1000BTTUSDT,0.03,-3.51,-3.37,267.38,33
347,BAKEUSDT,OMGUSDT,0.01,-3.99,-3.37,0.16,32
862,ZILUSDT,ANKRUSDT,0.01,-3.93,-3.37,1.01,32
45,AAVEUSDT,DODOUSDT,0.0,-5.33,-3.37,505.36,32
369,CELOUSDT,LTCUSDT,0.01,-3.87,-3.37,0.01,32
122,ALICEUSDT,DGBUSDT,0.0,-4.23,-3.37,172.49,32
217,ASTRUSDT,GTCUSDT,0.0,-5.13,-3.37,0.02,32
165,API3USDT,ENSUSDT,0.04,-3.42,-3.37,0.11,32
449,ICXUSDT,MTLUSDT,0.02,-3.6,-3.37,0.23,32
735,XRPUSDT,ARPAUSDT,0.0,-13.91,-3.37,14.21,32
8,1000BTTUSDT,GTCUSDT,0.0,-4.38,-3.37,0.0,32
310,BAKEUSDT,FILUSDT,0.03,-3.52,-3.37,0.04,32
760,XRPUSDT,CELUSDT,0.0,-13.61,-3.37,0.76,32
138,ALPHAUSDT,DARUSDT,0.0,-4.28,-3.37,0.65,32
191,ASTRUSDT,BITUSDT,0.0,-5.68,-3.37,0.12,32
321,BAKEUSDT,ICPUSDT,0.0,-4.78,-3.37,0.05,32
171,API3USDT,OGNUSDT,0.0,-4.76,-3.37,13.89,32
170,API3USDT,MINAUSDT,0.03,-3.48,-3.37,2.58,32
